Latitude,Longitude
31.721047912863174,-88.26135820005432
32.380235610461334,-88.66867722720123
35.32593175028842,-89.90343605247682
34.48124143917813,-89.61215624639743
32.822917398188,-96.82353934823999
30.1736502360143,-91.2425905447781
30.262223083190648,-97.75361859470264
30.22238596272401,-97.82089436024002
30.382585107962004,-97.68664433011801
30.37613889722933,-97.7052026134493
30.641271102354466,-98.62944449370487
30.254667750057248,-97.7494136599062
42.913053085577054,-120.82855561046541
37.183960387374256,-79.70563602445019
45.69837863297175,-108.20967719367529
46.85491393907584,-117.56429200985724
41.4255896103873,-72.04947392545311
46.259465508699996,-120.44740412346802
37.218204546322646,-120.43157092164805
36.325972359155394,-119.92318542412615
37.637955913670844,-118.54187286221249
37.031679742152,-119.541035192128
37.57431142390799,-122.035835113888
37.728173595992,-122.30282222167598
35.840073115646774,-83.6858847533298
41.17942241257428,-75.88503245327429
41.037271521544,-75.952260491952
35.87864306050801,-83.616366429598
32.62183348780556,-90.45877670089813
33.304005768288015,-111.83168433164197
33.88667526094101,-89.32726102964192
32.425835020470316,-88.77327353212758
32.35800490229733,-88.68222541822401
30.49237048891334,-92.60394573194134
32.35358188375948,-88.653361462698
32.92136254546308,-88.1099127885293
44.98943289660346,-93.29875975084141
44.94195491466365,-93.19941828531816
43.82816175418875,-95.62616353313706
44.947528716402644,-93.2885944345773
44.97340510653333,-93.28498375198244
44.980790521438685,-93.25649729942221
33.804729200409085,-84.48656069276365
33.823284777066,-84.35719631602394
34.827135200632554,-87.7294468301023
33.96234633659002,-84.56093982553398
33.85186154397578,-84.50484917433472
33.77068221198187,-84.34583247364657
30.814042938365002,-96.15608574292129
30.284930296842,-97.74268944028296
30.18091364741428,-97.7963288754762
30.22472880305714,-97.8217150605857
30.294937088390704,-97.77640357112793
30.279863638246013,-97.73352422312205
34.12888054959648,-118.13878785190876
33.95036875438001,-118.13882506274004
34.136042509555175,-118.16034928743105
34.20783430336721,-118.02098834857976
35.639044341986114,-117.02635866880227
34.107869799652015,-117.93776789360805
35.907394231264,-78.864374950396
35.9179472473632,-78.81664689227341
36.561538433794745,-79.7931533936509
36.85057611266445,-82.5916945004578
37.760681830375454,-115.88193528940502
35.72696563736,-78.60693697837198
29.742183176878015,-97.70280943325199
29.46172964796799,-98.598147427402
29.230489987908722,-95.1795617228293
29.414322953636,-98.51513923000799
30.304131011223987,-98.30448714836606
29.164879953112006,-98.33540519873604
34.08514075064721,-118.31443451719116
34.02070750465725,-118.30992818150752
34.2073125439967,-118.47393578299288
34.06171180662954,-118.37944757829456
34.819488448074146,-116.65194761112619
37.792200217956,-121.192494623092
45.40159423291002,-75.58156906067403
44.83024919036667,-77.0126153753
40.134270200864,-90.40790933910802
44.816102525001696,-76.91322217038693
45.41148955789704,-75.7003661718001
31.367156485573336,-97.49467320892892
35.83675883167199,-78.83774505278802
33.86551616903437,-84.33820670229481
35.825436851156,-78.98381902465002
34.641943446369964,-87.11786817451612
43.26988520029876,-111.8553675368174
33.783785601775996,-84.40060995214401
33.147571579360005,-116.5895388341
33.38399874484729,-113.12702470735536
33.39690839764615,-111.89164662189488
33.970658158182246,-110.72960504485614
33.35146292947905,-112.1161263219968
33.720541437548,-111.763659029056
33.37249426066,-93.43080651391294
37.16337269554445,-93.26938963227778
37.92758036594833,-89.9110072328499
37.144138815080005,-93.27236529782527
36.045949480966655,-86.79590745748331
37.14204972708667,-93.40987454072668
35.52010637923067,-97.49211022614534
35.482458075464,-98.17756207144001
35.46971157568333,-98.0781448567833
37.85994955314667,-88.95660754357863
36.74079259728521,-91.51912507271109
35.61858799719701,-97.469530088694
39.43798718382988,-86.40494782892556
38.84481966524002,-86.10995095199524
35.591715728172005,-103.904506897516
38.984143832176755,-85.09434263668041
38.49590576390808,-85.46342987329726
